pl_name,hostname,default_flag,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,pl_insol,sy_dist,st_teff,st_rad,st_mass,st_spectype,releasedate,rowupdate
"Kepler-1513 b","Kepler-1513",1,"Transit",2016,"Kepler",1,2,160.88420000000,,8.59400000,48.30991786,,,349.24700000,5491.00,0.950000,0.943000,"G V","2023-10-21","2023-10-21"
"TOI-4914 b","TOI-4914",1,"Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",1,1,10.60057000000,0.0980000000,12.87000000,227.00000000,894.00,,299.89000000,5805.00,1.000000,1.030000,,"2024-10-03","2024-10-03"
"TOI-237 c","TOI-237",1,"Transit",2026,"La Silla Observatory",1,2,1.74486147000,0.0160000000,1.20600000,,515.00,16.0000,38.07490000,3226.00,0.205600,0.169800,,"2026-05-21","2026-05-21"
"TOI-1898 b","TOI-1898",1,"Transit",2024,"Transiting Exoplanet Survey Satellite (TESS)",1,1,45.52234000000,0.2690000000,9.39553231,129.00000000,674.54,,79.66820000,6241.00,1.613100,1.248400,,"2024-07-23","2024-07-23"
"HD 330075 b","HD 330075",1,"Radial Velocity",2004,"La Silla Observatory",1,1,3.38773000000,0.0400000000,,152.55840000,,,45.29890000,5000.00,0.840000,0.470000,,"2018-09-06","2018-09-04"
"KOI-351 f","KOI-351",1,"Transit",2013,"Kepler",1,8,124.91440000000,0.4800000000,2.88000000,,,,848.25400000,6080.00,1.200000,1.200000,,"2014-05-14","2014-05-14"
"Kepler-1812 b","Kepler-1812",1,"Transit",2021,"Kepler",1,1,7.16521978400,,2.32494240,,,,1409.19000000,6174.00,1.103000,1.162000,,"2021-12-05","2021-12-05"
"KMT-2017-BLG-0428L b","KMT-2017-BLG-0428L",1,"Microlensing",2023,"KMTNet",1,1,,1.8100000000,,5.59000000,,,5400.00000000,,,0.340000,,"2023-02-17","2023-02-17"
"Kepler-516 b","Kepler-516",1,"Transit",2016,"Kepler",1,1,24.85462415000,,5.74000000,,,,687.09400000,7099.00,2.020000,1.620000,,"2016-05-10","2016-05-06"
"Kepler-1685 b","Kepler-1685",1,"Transit",2020,"Kepler",1,1,20.49050000000,,2.57673985,,,,1141.89000000,5484.00,0.835451,0.960000,,"2020-09-03","2020-09-08"
"Kepler-299 e","Kepler-299",1,"Transit",2014,"Kepler",1,4,38.28548900000,0.2200000000,1.87000000,,,,1052.24000000,5617.00,1.032000,,,"2014-05-14","2014-05-14"
"TOI-1749 b","TOI-1749",1,"Transit",2021,"Transiting Exoplanet Survey Satellite (TESS)",1,3,2.38839000000,0.0291000000,1.39000000,57.00000000,831.00,,99.55610000,3985.00,0.550000,0.580000,"M0 V","2021-07-26","2021-07-26"
"Kepler-406 b","Kepler-406",1,"Transit",2014,"Kepler",1,2,2.42629000000,,1.43000000,6.35000000,,,364.03000000,5538.00,1.070000,1.070000,,"2014-05-14","2014-05-14"
"OGLE-2016-BLG-1190L b","OGLE-2016-BLG-1190L",1,"Microlensing",2017,"OGLE",1,1,1220.00000000000,2.1700000000,,4253.00000000,,,6770.00000000,,,0.880000,,"2022-06-27","2022-06-27"
